email_id,customer_id,subject,body,tag
1,CUST_A,"Unable to access shared mailbox","I am getting a permission denied message when trying to access our shared mailbox.","access_issue"
2,CUST_A,"Rule not triggering","Our auto-assignment rule is no longer firing for emails with the word Refund.","workflow_issue"
3,CUST_A,"Email threads not merging","Two replies from the same customer created different threads in Hiver.","threading_issue"
4,CUST_A,"Tag suggestions incorrect","Tag suggestions are showing irrelevant tags like billing for product related emails.","tagging_accuracy"
5,CUST_A,"Drafts disappearing","Draft replies disappear when switching between conversations.","ui_bug"
6,CUST_A,"Automation delay","Our automation to mark emails as pending is taking 2-3 minutes to run.","automation_delay"
7,CUST_A,"Login issues","Several users are unable to log in today. Getting 'invalid session'.","auth_issue"
8,CUST_A,"Export not downloading","Exporting conversations as CSV fails silently.","export_issue"
9,CUST_A,"Notification spam","Agents are receiving duplicate desktop notifications.","notification_bug"
10,CUST_A,"Feature request: bulk tagging","We want an option to bulk-apply tags to multiple emails.","feature_request"
11,CUST_B,"Billing mismatch","We were charged for 20 users though we only have 12 active.","billing_error"
12,CUST_B,"CSAT not calculated","CSAT scores stopped generating since last week.","analytics_issue"
13,CUST_B,"Slow email load","Opening emails takes 10-12 seconds.","performance"
14,CUST_B,"Mobile app crash","Hiver app crashes whenever loading an attachment.","mobile_bug"
15,CUST_B,"SLA not applying","Our SLA rules aren't applied to emails from our VIP customers.","sla_issue"
16,CUST_B,"Tags not saved","Adding tags doesn't save unless we refresh.","tagging_issue"
17,CUST_B,"Automation duplication","Our workflow to create tasks is creating duplicates again.","automation_bug"
18,CUST_B,"Incorrect user assignments","Emails are being assigned to the wrong agent.","assignment_bug"
19,CUST_B,"IMAP sync failure","IMAP sync halted unexpectedly.","sync_issue"
20,CUST_B,"Feature request: unified analytics","We want analytics from multiple teams in one dashboard.","feature_request"
21,CUST_C,"Mail merge stuck","Mail merge gets stuck processing at 0%.","mail_merge_issue"
22,CUST_C,"Search not returning results","Searching for customer names yields no results.","search_issue"
23,CUST_C,"Deleted emails reappearing","Emails deleted yesterday reappear today.","sync_bug"
24,CUST_C,"Tables broken in composer","Tables inserted in the editor lose formatting.","editor_bug"
25,CUST_C,"Attachments corrupted","Downloaded attachments appear corrupted.","attachment_issue"
26,CUST_C,"Auto-close not working","Emails older than SLA should auto-close but remain open.","automation_issue"
27,CUST_C,"CSAT survey not sent","Customers aren't receiving CSAT surveys.","csat_issue"
28,CUST_C,"UI freeze","UI freezes when scrolling fast.","ui_performance"
29,CUST_C,"Delay in notifications","Users get notifications 5-7 minutes late.","notification_delay"
30,CUST_C,"Dark mode request","Dark mode would help our night shift team.","feature_request"
31,CUST_D,"Archived emails missing","Archived emails do not show up in Analytics.","analytics_bug"
32,CUST_D,"Kanban view glitch","Cards overlap in Kanban mode.","ui_bug"
33,CUST_D,"Unable to add user","Error: 'Authorization missing' when adding a new agent.","user_management"
34,CUST_D,"Forwarding fails","Forwarding an email gives a server timeout.","forwarding_issue"
35,CUST_D,"Signature duplication","Our signatures duplicate twice when replying.","signature_bug"
36,CUST_D,"Custom fields lost","Custom fields disappear after switching tabs.","ui_state_bug"
37,CUST_D,"Report export incorrect","SLAs look incorrect in exported reports.","analytics_accuracy"
38,CUST_D,"Smart suggestions irrelevant","Smart suggestions propose the wrong KB articles.","suggestion_accuracy"
39,CUST_D,"Confetti animation stuck","The confetti animation plays repeatedly after resolving.","ui_bug"
40,CUST_D,"Need API documentation","We want to build an integration; need updated API docs.","information_request"
41,CUST_E,"Email lag","Email timestamps lag by 3–5 minutes.","sync_delay"
42,CUST_E,"Assignee reset","Emails revert to unassigned randomly.","assignment_issue"
43,CUST_E,"Tag creation blocked","Cannot create new tags in admin panel.","admin_ui_bug"
44,CUST_E,"Workflow errors","Testing workflows shows red error banner.","workflow_bug"
45,CUST_E,"Draft lost","Draft disappears when switching tabs.","draft_issue"
46,CUST_E,"CSAT report mismatch","CSAT count in dashboard doesn't match total responses.","analytics_issue"
47,CUST_E,"Attachment preview broken","Preview pane fails to load PDFs.","attachment_preview_bug"
48,CUST_E,"Auto-assign slow","Incoming emails remain unassigned for up to 2 minutes.","automation_delay"
49,CUST_E,"Mobile push notifications not received","Mobile users don't receive push notifications.","mobile_notification_issue"
50,CUST_E,"Request: custom priority field","We want a custom priority field for tickets.","feature_request"
51,CUST_F,"Email duplication","Some incoming emails appear twice.","duplication_bug"
52,CUST_F,"BCC not recorded","BCC participants do not show up in activity logs.","logging_issue"
53,CUST_F,"Random sign-outs","Users get signed out every 30 minutes.","session_issue"
54,CUST_F,"Composer slow","Typing in the composer is extremely slow.","editor_performance"
55,CUST_F,"Keyboard shortcuts broken","Shortcuts like 'R' to reply aren't working.","shortcut_bug"
56,CUST_F,"Global search frozen","Global search gets stuck loading.","search_issue"
57,CUST_F,"Rules not saving","Workflow rules don't save after clicking Submit.","workflow_bug"
58,CUST_F,"Analytics sync delay","Stats update only once per hour.","analytics_latency"
59,CUST_F,"Outbox stuck","Emails remain in the outbox indefinitely.","send_issue"
60,CUST_F,"Need help setting SLA","Not sure how to set SLA targets for different teams.","setup_help"

